Method,Seed,Initial Set Size,Initial Test R2,Budget,Labeled Set Size,Test R2,Cost Function,Total Cost
greedycost,789,147,-0.016010511056479437,10,159,-0.02689744437119357,pointwise_by_region,159.0
greedycost,1,147,-0.016010511056479437,10,154,0.057543381906755786,pointwise_by_region,154.0
greedycost,42,147,-0.016010511056479437,10,154,0.0026927342770013407,pointwise_by_region,154.0
greedycost,456,147,-0.016010511056479437,10,153,0.05281064991089346,pointwise_by_region,153.0
greedycost,123,147,-0.016010511056479437,10,150,0.03789798123668198,pointwise_by_region,150.0
greedycost,789,147,-0.016010511056479437,20,166,0.052345979072396465,pointwise_by_region,166.0
greedycost,1,147,-0.016010511056479437,20,162,0.050325935555575074,pointwise_by_region,162.0
greedycost,42,147,-0.016010511056479437,20,164,0.06334190727845501,pointwise_by_region,164.0
greedycost,456,147,-0.016010511056479437,20,163,0.07493456717729519,pointwise_by_region,163.0
greedycost,123,147,-0.016010511056479437,20,160,0.0935428782478277,pointwise_by_region,160.0
greedycost,789,147,-0.016010511056479437,30,175,0.08386592974935647,pointwise_by_region,175.0
greedycost,1,147,-0.016010511056479437,30,174,0.09190826051644219,pointwise_by_region,174.0
greedycost,42,147,-0.016010511056479437,30,173,0.07271737817990431,pointwise_by_region,173.0
greedycost,456,147,-0.016010511056479437,30,171,0.14634502026323437,pointwise_by_region,171.0
greedycost,123,147,-0.016010511056479437,30,175,0.19669848132196677,pointwise_by_region,175.0
greedycost,789,147,-0.016010511056479437,40,186,0.14169540695176508,pointwise_by_region,186.0
greedycost,1,147,-0.016010511056479437,40,180,0.13797623385325053,pointwise_by_region,180.0
greedycost,42,147,-0.016010511056479437,40,180,0.12988924511607614,pointwise_by_region,180.0
greedycost,456,147,-0.016010511056479437,40,179,0.1841595993451518,pointwise_by_region,179.0
greedycost,123,147,-0.016010511056479437,40,190,0.2488430995159434,pointwise_by_region,190.0
greedycost,789,147,-0.016010511056479437,50,199,0.20366761127197008,pointwise_by_region,199.0
greedycost,1,147,-0.016010511056479437,50,183,0.13495077771172903,pointwise_by_region,183.0
greedycost,42,147,-0.016010511056479437,50,191,0.19367123619434046,pointwise_by_region,191.0
greedycost,456,147,-0.016010511056479437,50,191,0.22517477750792292,pointwise_by_region,191.0
greedycost,123,147,-0.016010511056479437,50,195,0.2558736740331158,pointwise_by_region,195.0
greedycost,789,147,-0.016010511056479437,60,213,0.2505110874840243,pointwise_by_region,213.0
greedycost,1,147,-0.016010511056479437,60,197,0.1535580164610003,pointwise_by_region,197.0
greedycost,42,147,-0.016010511056479437,60,204,0.2001147768102246,pointwise_by_region,204.0
greedycost,456,147,-0.016010511056479437,60,203,0.25202459873315775,pointwise_by_region,203.0
greedycost,123,147,-0.016010511056479437,60,207,0.3011735044459922,pointwise_by_region,207.0
greedycost,789,147,-0.016010511056479437,70,218,0.2611075331982815,pointwise_by_region,218.0
