Method,Seed,Initial Set Size,Initial Test R2,Budget,Labeled Set Size,Test R2,Cost Function,Total Cost
greedycost,789,101,-0.327597023748478,10,112,-0.3043204196239069,pointwise_by_region,112.0
greedycost,1,101,-0.327597023748478,10,109,-0.07596128658504897,pointwise_by_region,109.0
greedycost,42,101,-0.327597023748478,10,117,0.14083184565369689,pointwise_by_region,117.0
greedycost,456,101,-0.327597023748478,10,113,-0.10193586536683141,pointwise_by_region,113.0
greedycost,123,101,-0.327597023748478,10,105,-0.213725102663485,pointwise_by_region,105.0
greedycost,789,101,-0.327597023748478,20,122,-0.042995947713384775,pointwise_by_region,122.0
greedycost,1,101,-0.327597023748478,20,116,-0.052010568320354666,pointwise_by_region,116.0
greedycost,42,101,-0.327597023748478,20,123,0.17945364547832465,pointwise_by_region,123.0
greedycost,456,101,-0.327597023748478,20,118,-0.005317764108743628,pointwise_by_region,118.0
greedycost,123,101,-0.327597023748478,20,115,-0.192547524769475,pointwise_by_region,115.0
greedycost,789,101,-0.327597023748478,30,132,0.010212010748277156,pointwise_by_region,132.0
greedycost,1,101,-0.327597023748478,30,129,0.13252366541088034,pointwise_by_region,129.0
greedycost,42,101,-0.327597023748478,30,128,0.21460072458221557,pointwise_by_region,128.0
greedycost,456,101,-0.327597023748478,30,130,0.004304257909891085,pointwise_by_region,130.0
greedycost,123,101,-0.327597023748478,30,130,0.09727042734023328,pointwise_by_region,130.0
greedycost,789,101,-0.327597023748478,40,147,0.14978369616176246,pointwise_by_region,147.0
greedycost,1,101,-0.327597023748478,40,140,0.19354687418010774,pointwise_by_region,140.0
greedycost,42,101,-0.327597023748478,40,138,0.25734185522193387,pointwise_by_region,138.0
greedycost,456,101,-0.327597023748478,40,138,0.11350742839487393,pointwise_by_region,138.0
greedycost,123,101,-0.327597023748478,40,139,0.16850951880087883,pointwise_by_region,139.0
greedycost,789,101,-0.327597023748478,50,157,0.13924982600253566,pointwise_by_region,157.0
greedycost,1,101,-0.327597023748478,50,148,0.24070134135264554,pointwise_by_region,148.0
greedycost,42,101,-0.327597023748478,50,149,0.22131244348092305,pointwise_by_region,149.0
greedycost,456,101,-0.327597023748478,50,143,0.13326556976619752,pointwise_by_region,143.0
greedycost,123,101,-0.327597023748478,50,148,0.1413422870815525,pointwise_by_region,148.0
greedycost,789,101,-0.327597023748478,60,165,0.22847488496992974,pointwise_by_region,165.0
greedycost,1,101,-0.327597023748478,60,155,0.2145806874022821,pointwise_by_region,155.0
greedycost,42,101,-0.327597023748478,60,160,0.2563777603459161,pointwise_by_region,160.0
greedycost,456,101,-0.327597023748478,60,153,0.18314910944399465,pointwise_by_region,153.0
greedycost,123,101,-0.327597023748478,60,153,0.13970047832510746,pointwise_by_region,153.0
greedycost,789,101,-0.327597023748478,70,184,0.24196224604397176,pointwise_by_region,184.0
greedycost,1,101,-0.327597023748478,70,166,0.22913231848346705,pointwise_by_region,166.0
greedycost,42,101,-0.327597023748478,70,172,0.2780082606861487,pointwise_by_region,172.0
greedycost,456,101,-0.327597023748478,70,163,0.18978899648779501,pointwise_by_region,163.0
greedycost,123,101,-0.327597023748478,70,162,0.262469962489997,pointwise_by_region,162.0
greedycost,789,101,-0.327597023748478,80,194,0.25317468441569235,pointwise_by_region,194.0
greedycost,1,101,-0.327597023748478,80,180,0.24122762701912537,pointwise_by_region,180.0
greedycost,42,101,-0.327597023748478,80,186,0.28238097418901653,pointwise_by_region,186.0
greedycost,456,101,-0.327597023748478,80,173,0.16625037807440057,pointwise_by_region,173.0
greedycost,123,101,-0.327597023748478,80,174,0.2593593729782645,pointwise_by_region,174.0
greedycost,789,101,-0.327597023748478,90,203,0.26718164112349185,pointwise_by_region,203.0
greedycost,1,101,-0.327597023748478,90,185,0.23392386587629943,pointwise_by_region,185.0
greedycost,42,101,-0.327597023748478,90,200,0.3115480515679139,pointwise_by_region,200.0
greedycost,456,101,-0.327597023748478,90,185,0.17703628953351114,pointwise_by_region,185.0
greedycost,123,101,-0.327597023748478,90,183,0.2988240307041684,pointwise_by_region,183.0
greedycost,789,101,-0.327597023748478,100,213,0.30833611322545407,pointwise_by_region,213.0
greedycost,1,101,-0.327597023748478,100,192,0.23846319497518564,pointwise_by_region,192.0
greedycost,42,101,-0.327597023748478,100,211,0.3717658787581336,pointwise_by_region,211.0
greedycost,456,101,-0.327597023748478,100,195,0.18651342103798096,pointwise_by_region,195.0
greedycost,123,101,-0.327597023748478,100,192,0.3237217177672703,pointwise_by_region,192.0
greedycost,789,101,-0.327597023748478,110,227,0.27478984946322604,pointwise_by_region,227.0
greedycost,1,101,-0.327597023748478,110,201,0.3148697537500085,pointwise_by_region,201.0
greedycost,42,101,-0.327597023748478,110,224,0.3718860843084665,pointwise_by_region,224.0
greedycost,456,101,-0.327597023748478,110,201,0.19570338480688532,pointwise_by_region,201.0
greedycost,123,101,-0.327597023748478,110,198,0.30013345482943077,pointwise_by_region,198.0
greedycost,789,101,-0.327597023748478,120,234,0.3406056139891014,pointwise_by_region,234.0
greedycost,1,101,-0.327597023748478,120,206,0.3127625834617773,pointwise_by_region,206.0
greedycost,42,101,-0.327597023748478,120,230,0.39742762097544004,pointwise_by_region,230.0
greedycost,456,101,-0.327597023748478,120,211,0.22693555443075886,pointwise_by_region,211.0
greedycost,123,101,-0.327597023748478,120,211,0.36342966838835267,pointwise_by_region,211.0
greedycost,789,101,-0.327597023748478,130,241,0.2764768527018162,pointwise_by_region,241.0
greedycost,1,101,-0.327597023748478,130,223,0.2825350282813939,pointwise_by_region,223.0
greedycost,42,101,-0.327597023748478,130,240,0.40549754897792456,pointwise_by_region,240.0
greedycost,456,101,-0.327597023748478,130,218,0.22176931301071845,pointwise_by_region,218.0
greedycost,123,101,-0.327597023748478,130,223,0.35111357303035784,pointwise_by_region,223.0
greedycost,789,101,-0.327597023748478,140,257,0.2902060895799614,pointwise_by_region,257.0
greedycost,1,101,-0.327597023748478,140,231,0.300006980553305,pointwise_by_region,231.0
greedycost,42,101,-0.327597023748478,140,246,0.4104103589619662,pointwise_by_region,246.0
greedycost,456,101,-0.327597023748478,140,229,0.2762792174562161,pointwise_by_region,229.0
