Method,Seed,Initial Set Size,Initial Test R2,Budget,Labeled Set Size,Test R2,Cost Function,Total Cost
greedycost,1,429,0.012400459637913253,150,561,0.30322920877195647,pointwise_by_region,561.0
greedycost,42,429,0.012400459637913253,150,590,0.32570325075499795,pointwise_by_region,590.0
greedycost,456,429,0.012400459637913253,150,581,0.3053739399321008,pointwise_by_region,581.0
greedycost,123,429,0.012400459637913253,150,575,0.29699169427985816,pointwise_by_region,575.0
greedycost,789,429,0.012400459637913253,160,590,0.3366470135732551,pointwise_by_region,590.0
greedycost,1,429,0.012400459637913253,160,578,0.3228537422628205,pointwise_by_region,578.0
greedycost,42,429,0.012400459637913253,160,601,0.3288959501591474,pointwise_by_region,601.0
greedycost,456,429,0.012400459637913253,160,587,0.30910682509987175,pointwise_by_region,587.0
greedycost,123,429,0.012400459637913253,160,582,0.304952828700674,pointwise_by_region,582.0
greedycost,789,429,0.012400459637913253,170,597,0.33790241458725634,pointwise_by_region,597.0
greedycost,1,429,0.012400459637913253,170,584,0.3244483831049795,pointwise_by_region,584.0
greedycost,42,429,0.012400459637913253,170,614,0.34197877545863087,pointwise_by_region,614.0
greedycost,456,429,0.012400459637913253,170,596,0.3212254201300595,pointwise_by_region,596.0
greedycost,123,429,0.012400459637913253,170,596,0.3203039709828207,pointwise_by_region,596.0
greedycost,789,429,0.012400459637913253,180,601,0.3361917043494811,pointwise_by_region,601.0
greedycost,1,429,0.012400459637913253,180,594,0.33019210598829807,pointwise_by_region,594.0
greedycost,42,429,0.012400459637913253,180,626,0.33096659849403454,pointwise_by_region,626.0
greedycost,456,429,0.012400459637913253,180,605,0.3228778640268476,pointwise_by_region,605.0
greedycost,123,429,0.012400459637913253,180,605,0.32562805479442347,pointwise_by_region,605.0
greedycost,789,429,0.012400459637913253,190,612,0.3446989625756691,pointwise_by_region,612.0
greedycost,1,429,0.012400459637913253,190,603,0.3322486341987152,pointwise_by_region,603.0
greedycost,42,429,0.012400459637913253,190,637,0.34808721742900894,pointwise_by_region,637.0
greedycost,456,429,0.012400459637913253,190,614,0.3241866347057888,pointwise_by_region,614.0
greedycost,123,429,0.012400459637913253,190,609,0.3245651903515908,pointwise_by_region,609.0
greedycost,789,429,0.012400459637913253,200,628,0.35116532240792186,pointwise_by_region,628.0
greedycost,1,429,0.012400459637913253,200,613,0.3298219764929575,pointwise_by_region,613.0
greedycost,42,429,0.012400459637913253,200,644,0.35280910451572856,pointwise_by_region,644.0
greedycost,456,429,0.012400459637913253,200,625,0.34815658716873543,pointwise_by_region,625.0
greedycost,123,429,0.012400459637913253,200,615,0.37098893874849337,pointwise_by_region,615.0
random,789,429,0.012400459637913253,10,429,0.012400459637913253,pointwise_by_region,429.0
random,1,429,0.012400459637913253,10,429,0.012400459637913253,pointwise_by_region,429.0
random,42,429,0.012400459637913253,10,429,0.012400459637913253,pointwise_by_region,429.0
random,456,429,0.012400459637913253,10,429,0.012400459637913253,pointwise_by_region,429.0
random,123,429,0.012400459637913253,10,429,0.012400459637913253,pointwise_by_region,429.0
random,789,429,0.012400459637913253,20,429,0.012400459637913253,pointwise_by_region,429.0
random,1,429,0.012400459637913253,20,429,0.012400459637913253,pointwise_by_region,429.0
random,42,429,0.012400459637913253,20,429,0.012400459637913253,pointwise_by_region,429.0
random,456,429,0.012400459637913253,20,429,0.012400459637913253,pointwise_by_region,429.0
random,123,429,0.012400459637913253,20,429,0.012400459637913253,pointwise_by_region,429.0
random,789,429,0.012400459637913253,30,429,0.012400459637913253,pointwise_by_region,429.0
random,1,429,0.012400459637913253,30,429,0.012400459637913253,pointwise_by_region,429.0
random,42,429,0.012400459637913253,30,429,0.012400459637913253,pointwise_by_region,429.0
random,456,429,0.012400459637913253,30,429,0.012400459637913253,pointwise_by_region,429.0
random,123,429,0.012400459637913253,30,429,0.012400459637913253,pointwise_by_region,429.0
random,789,429,0.012400459637913253,40,429,0.012400459637913253,pointwise_by_region,429.0
random,1,429,0.012400459637913253,40,429,0.012400459637913253,pointwise_by_region,429.0
random,42,429,0.012400459637913253,40,429,0.012400459637913253,pointwise_by_region,429.0
random,456,429,0.012400459637913253,40,429,0.012400459637913253,pointwise_by_region,429.0
random,123,429,0.012400459637913253,40,429,0.012400459637913253,pointwise_by_region,429.0
random,789,429,0.012400459637913253,50,429,0.012400459637913253,pointwise_by_region,429.0
random,1,429,0.012400459637913253,50,429,0.012400459637913253,pointwise_by_region,429.0
random,42,429,0.012400459637913253,50,429,0.012400459637913253,pointwise_by_region,429.0
random,456,429,0.012400459637913253,50,429,0.012400459637913253,pointwise_by_region,429.0
random,123,429,0.012400459637913253,50,429,0.012400459637913253,pointwise_by_region,429.0
random,789,429,0.012400459637913253,60,429,0.012400459637913253,pointwise_by_region,429.0
random,1,429,0.012400459637913253,60,429,0.012400459637913253,pointwise_by_region,429.0
random,42,429,0.012400459637913253,60,429,0.012400459637913253,pointwise_by_region,429.0
random,456,429,0.012400459637913253,60,429,0.012400459637913253,pointwise_by_region,429.0
random,123,429,0.012400459637913253,60,429,0.012400459637913253,pointwise_by_region,429.0
random,789,429,0.012400459637913253,70,429,0.012400459637913253,pointwise_by_region,429.0
random,1,429,0.012400459637913253,70,429,0.012400459637913253,pointwise_by_region,429.0
random,42,429,0.012400459637913253,70,429,0.012400459637913253,pointwise_by_region,429.0
random,456,429,0.012400459637913253,70,429,0.012400459637913253,pointwise_by_region,429.0
random,123,429,0.012400459637913253,70,429,0.012400459637913253,pointwise_by_region,429.0
random,789,429,0.012400459637913253,80,429,0.012400459637913253,pointwise_by_region,429.0
random,1,429,0.012400459637913253,80,429,0.012400459637913253,pointwise_by_region,429.0
random,42,429,0.012400459637913253,80,429,0.012400459637913253,pointwise_by_region,429.0
random,456,429,0.012400459637913253,80,429,0.012400459637913253,pointwise_by_region,429.0
random,123,429,0.012400459637913253,80,429,0.012400459637913253,pointwise_by_region,429.0
random,789,429,0.012400459637913253,90,429,0.012400459637913253,pointwise_by_region,429.0
random,1,429,0.012400459637913253,90,429,0.012400459637913253,pointwise_by_region,429.0
random,42,429,0.012400459637913253,90,429,0.012400459637913253,pointwise_by_region,429.0
random,456,429,0.012400459637913253,90,429,0.012400459637913253,pointwise_by_region,429.0
random,123,429,0.012400459637913253,90,429,0.012400459637913253,pointwise_by_region,429.0
random,789,429,0.012400459637913253,100,429,0.012400459637913253,pointwise_by_region,429.0
random,1,429,0.012400459637913253,100,429,0.012400459637913253,pointwise_by_region,429.0
random,42,429,0.012400459637913253,100,429,0.012400459637913253,pointwise_by_region,429.0
random,456,429,0.012400459637913253,100,429,0.012400459637913253,pointwise_by_region,429.0
random,123,429,0.012400459637913253,100,429,0.012400459637913253,pointwise_by_region,429.0
random,789,429,0.012400459637913253,110,429,0.012400459637913253,pointwise_by_region,429.0
random,1,429,0.012400459637913253,110,429,0.012400459637913253,pointwise_by_region,429.0
random,42,429,0.012400459637913253,110,429,0.012400459637913253,pointwise_by_region,429.0
random,456,429,0.012400459637913253,110,429,0.012400459637913253,pointwise_by_region,429.0
random,123,429,0.012400459637913253,110,429,0.012400459637913253,pointwise_by_region,429.0
random,789,429,0.012400459637913253,120,429,0.012400459637913253,pointwise_by_region,429.0
random,1,429,0.012400459637913253,120,429,0.012400459637913253,pointwise_by_region,429.0
random,42,429,0.012400459637913253,120,429,0.012400459637913253,pointwise_by_region,429.0
random,456,429,0.012400459637913253,120,429,0.012400459637913253,pointwise_by_region,429.0
random,123,429,0.012400459637913253,120,429,0.012400459637913253,pointwise_by_region,429.0
random,789,429,0.012400459637913253,130,429,0.012400459637913253,pointwise_by_region,429.0
random,1,429,0.012400459637913253,130,429,0.012400459637913253,pointwise_by_region,429.0
random,42,429,0.012400459637913253,130,429,0.012400459637913253,pointwise_by_region,429.0
random,456,429,0.012400459637913253,130,429,0.012400459637913253,pointwise_by_region,429.0
random,123,429,0.012400459637913253,130,429,0.012400459637913253,pointwise_by_region,429.0
random,789,429,0.012400459637913253,140,429,0.012400459637913253,pointwise_by_region,429.0
random,1,429,0.012400459637913253,140,429,0.012400459637913253,pointwise_by_region,429.0
random,42,429,0.012400459637913253,140,429,0.012400459637913253,pointwise_by_region,429.0
random,456,429,0.012400459637913253,140,429,0.012400459637913253,pointwise_by_region,429.0
random,123,429,0.012400459637913253,140,429,0.012400459637913253,pointwise_by_region,429.0
random,789,429,0.012400459637913253,150,429,0.012400459637913253,pointwise_by_region,429.0
random,1,429,0.012400459637913253,150,429,0.012400459637913253,pointwise_by_region,429.0
random,42,429,0.012400459637913253,150,429,0.012400459637913253,pointwise_by_region,429.0
random,456,429,0.012400459637913253,150,429,0.012400459637913253,pointwise_by_region,429.0
random,123,429,0.012400459637913253,150,429,0.012400459637913253,pointwise_by_region,429.0
random,789,429,0.012400459637913253,160,429,0.012400459637913253,pointwise_by_region,429.0
random,1,429,0.012400459637913253,160,429,0.012400459637913253,pointwise_by_region,429.0
random,42,429,0.012400459637913253,160,429,0.012400459637913253,pointwise_by_region,429.0
random,456,429,0.012400459637913253,160,429,0.012400459637913253,pointwise_by_region,429.0
random,123,429,0.012400459637913253,160,429,0.012400459637913253,pointwise_by_region,429.0
