Method,Seed,Initial Set Size,Initial Test R2,Budget,Test R2
inversetypiclust,789,381,0.4742885812254629,10,0.4669759845049667
inversetypiclust,1,381,0.4742885812254629,10,0.47630719106644004
inversetypiclust,42,381,0.4742885812254629,10,0.4213645404507069
inversetypiclust,456,381,0.4742885812254629,10,0.4778054437754816
inversetypiclust,123,381,0.4742885812254629,10,0.48620244568181203
inversetypiclust,789,381,0.4742885812254629,20,0.4737037233923712
inversetypiclust,1,381,0.4742885812254629,20,0.4809429138015875
inversetypiclust,42,381,0.4742885812254629,20,0.4755821653711316
inversetypiclust,456,381,0.4742885812254629,20,0.48376866118863404
inversetypiclust,123,381,0.4742885812254629,20,0.4846185546307581
inversetypiclust,789,381,0.4742885812254629,30,0.4886081624610161
inversetypiclust,1,381,0.4742885812254629,30,0.4937915888165204
inversetypiclust,42,381,0.4742885812254629,30,0.4874810809524954
inversetypiclust,456,381,0.4742885812254629,30,0.4756010460441309
inversetypiclust,123,381,0.4742885812254629,30,0.4810545243631663
inversetypiclust,789,381,0.4742885812254629,40,0.4889795220489713
inversetypiclust,1,381,0.4742885812254629,40,0.501870461253668
inversetypiclust,42,381,0.4742885812254629,40,0.5030638310108384
inversetypiclust,456,381,0.4742885812254629,40,0.48285842240768784
inversetypiclust,123,381,0.4742885812254629,40,0.4842214447977179
inversetypiclust,789,381,0.4742885812254629,50,0.4956769605525768
inversetypiclust,1,381,0.4742885812254629,50,0.4925160821151324
inversetypiclust,42,381,0.4742885812254629,50,0.4945604285470121
inversetypiclust,456,381,0.4742885812254629,50,0.4879060437341557
inversetypiclust,123,381,0.4742885812254629,50,0.4962344723555091
inversetypiclust,789,381,0.4742885812254629,60,0.3903003219149367
inversetypiclust,1,381,0.4742885812254629,60,0.5172994657220874
inversetypiclust,42,381,0.4742885812254629,60,0.4879769339605773
inversetypiclust,456,381,0.4742885812254629,60,0.48884940560893975
inversetypiclust,123,381,0.4742885812254629,60,0.5078840746316826
inversetypiclust,789,381,0.4742885812254629,70,0.5059885672371895
inversetypiclust,1,381,0.4742885812254629,70,0.5098537619696681
inversetypiclust,42,381,0.4742885812254629,70,0.4985457952814487
inversetypiclust,456,381,0.4742885812254629,70,0.5009856910796804
inversetypiclust,123,381,0.4742885812254629,70,0.5027642581684826
inversetypiclust,789,381,0.4742885812254629,80,0.5082324291823229
inversetypiclust,1,381,0.4742885812254629,80,0.5006441199633473
inversetypiclust,42,381,0.4742885812254629,80,0.4957882607854972
inversetypiclust,456,381,0.4742885812254629,80,0.49370955483230594
inversetypiclust,123,381,0.4742885812254629,80,0.5029107245512158
inversetypiclust,789,381,0.4742885812254629,90,0.5044507447247766
inversetypiclust,1,381,0.4742885812254629,90,0.4923571010503751
inversetypiclust,42,381,0.4742885812254629,90,0.492440544202596
inversetypiclust,456,381,0.4742885812254629,90,0.49749382551365673
inversetypiclust,123,381,0.4742885812254629,90,0.5219474845307235
inversetypiclust,789,381,0.4742885812254629,100,0.5314650594537349
inversetypiclust,1,381,0.4742885812254629,100,0.48707365576746753
inversetypiclust,42,381,0.4742885812254629,100,0.48867766567495596
inversetypiclust,456,381,0.4742885812254629,100,0.5022969433077342
inversetypiclust,123,381,0.4742885812254629,100,0.5164439024005398
inversetypiclust,789,381,0.4742885812254629,110,0.5199497936153724
inversetypiclust,1,381,0.4742885812254629,110,0.525215243164671
inversetypiclust,42,381,0.4742885812254629,110,0.4973184407662895
inversetypiclust,456,381,0.4742885812254629,110,0.5156450267945558
inversetypiclust,123,381,0.4742885812254629,110,0.5040492803169272
inversetypiclust,789,381,0.4742885812254629,120,0.5169244035862384
inversetypiclust,1,381,0.4742885812254629,120,0.5305017513872023
inversetypiclust,42,381,0.4742885812254629,120,0.5237279927227312
inversetypiclust,456,381,0.4742885812254629,120,0.5235409027587372
inversetypiclust,123,381,0.4742885812254629,120,0.5259129345454724
inversetypiclust,789,381,0.4742885812254629,130,0.516984362820212
inversetypiclust,1,381,0.4742885812254629,130,0.5391334595431374
inversetypiclust,42,381,0.4742885812254629,130,0.5262692024894526
inversetypiclust,456,381,0.4742885812254629,130,0.5278491697891774
inversetypiclust,123,381,0.4742885812254629,130,0.529514086456168
inversetypiclust,789,381,0.4742885812254629,140,0.5278561031551012
inversetypiclust,1,381,0.4742885812254629,140,0.5395920276876776
inversetypiclust,42,381,0.4742885812254629,140,0.5269102842652529
inversetypiclust,456,381,0.4742885812254629,140,0.5315673427148631
inversetypiclust,123,381,0.4742885812254629,140,0.5297434504719167
inversetypiclust,789,381,0.4742885812254629,150,0.5310069203634092
inversetypiclust,1,381,0.4742885812254629,150,0.5405365990579132
inversetypiclust,42,381,0.4742885812254629,150,0.5339862783964419
inversetypiclust,456,381,0.4742885812254629,150,0.5361674001856234
inversetypiclust,123,381,0.4742885812254629,150,0.5113771435231036
inversetypiclust,789,381,0.4742885812254629,160,0.5331990408846368
inversetypiclust,1,381,0.4742885812254629,160,0.5398153877099702
inversetypiclust,42,381,0.4742885812254629,160,0.5352552496112064
inversetypiclust,456,381,0.4742885812254629,160,0.5364855271874359
inversetypiclust,123,381,0.4742885812254629,160,0.5320925420431973
inversetypiclust,789,381,0.4742885812254629,170,0.5357815424020971
inversetypiclust,1,381,0.4742885812254629,170,0.5424116302772632
inversetypiclust,42,381,0.4742885812254629,170,0.5376059330409042
inversetypiclust,456,381,0.4742885812254629,170,0.5352649719274118
inversetypiclust,123,381,0.4742885812254629,170,0.5347460702012522
inversetypiclust,789,381,0.4742885812254629,180,0.5356530498598604
inversetypiclust,1,381,0.4742885812254629,180,0.543194107119124
inversetypiclust,42,381,0.4742885812254629,180,0.5384815295383154
