Method,Seed,Initial Set Size,Initial Test R2,Budget,Labeled Set Size,Test R2,Cost Function,Total Cost
greedycost,789,381,0.4742885812254629,10,393,0.48051324155463726,pointwise_by_region,393.0
greedycost,1,381,0.4742885812254629,10,388,0.47463197868065854,pointwise_by_region,388.0
greedycost,42,381,0.4742885812254629,10,389,0.4792410907479996,pointwise_by_region,389.0
greedycost,456,381,0.4742885812254629,10,390,0.47540906776445857,pointwise_by_region,390.0
greedycost,123,381,0.4742885812254629,10,386,0.48180551811673555,pointwise_by_region,386.0
greedycost,789,381,0.4742885812254629,20,403,0.47522135517765896,pointwise_by_region,403.0
greedycost,1,381,0.4742885812254629,20,395,0.47731570151784153,pointwise_by_region,395.0
greedycost,42,381,0.4742885812254629,20,401,0.4847311647951821,pointwise_by_region,401.0
greedycost,456,381,0.4742885812254629,20,401,0.4776039029842112,pointwise_by_region,401.0
greedycost,123,381,0.4742885812254629,20,401,0.49743241375614855,pointwise_by_region,401.0
greedycost,789,381,0.4742885812254629,30,412,0.43994790798388295,pointwise_by_region,412.0
greedycost,1,381,0.4742885812254629,30,406,0.43702477876037005,pointwise_by_region,406.0
greedycost,42,381,0.4742885812254629,30,409,0.49865412158483235,pointwise_by_region,409.0
greedycost,456,381,0.4742885812254629,30,407,0.4842775947414676,pointwise_by_region,407.0
greedycost,123,381,0.4742885812254629,30,409,0.49781684600689813,pointwise_by_region,409.0
greedycost,789,381,0.4742885812254629,40,422,0.4430470266914329,pointwise_by_region,422.0
greedycost,1,381,0.4742885812254629,40,416,0.48547865962601144,pointwise_by_region,416.0
greedycost,42,381,0.4742885812254629,40,417,0.503488501436385,pointwise_by_region,417.0
greedycost,456,381,0.4742885812254629,40,414,0.49396117734717604,pointwise_by_region,414.0
greedycost,123,381,0.4742885812254629,40,426,0.5064790047779122,pointwise_by_region,426.0
greedycost,789,381,0.4742885812254629,50,437,0.48945759758395835,pointwise_by_region,437.0
greedycost,1,381,0.4742885812254629,50,429,0.49348255970649213,pointwise_by_region,429.0
greedycost,42,381,0.4742885812254629,50,426,0.5054082299169826,pointwise_by_region,426.0
