Method,Seed,Initial Set Size,Initial Test R2,Budget,Test R2,Total Cost
greedycost,789,50,0.11568860813931381,130,0.3806864472651188,180.0
greedycost,1,50,0.11568860813931381,130,0.360340607341213,160.0
greedycost,42,50,0.11568860813931381,130,0.43457683641811473,162.0
greedycost,456,50,0.11568860813931381,130,0.3481609903220483,182.0
greedycost,123,50,0.11568860813931381,130,0.372749815674717,169.0
greedycost,789,50,0.11568860813931381,140,0.3956648560600232,188.0
greedycost,1,50,0.11568860813931381,140,0.40398143601879977,171.0
greedycost,42,50,0.11568860813931381,140,0.44037069586069477,174.0
greedycost,456,50,0.11568860813931381,140,0.35468264107169223,192.0
greedycost,123,50,0.11568860813931381,140,0.3854559208540942,176.0
greedycost,789,50,0.11568860813931381,150,0.3945185037243315,196.0
greedycost,1,50,0.11568860813931381,150,0.41232386909818886,181.0
greedycost,42,50,0.11568860813931381,150,0.42444239197636713,190.0
greedycost,456,50,0.11568860813931381,150,0.35903860644265184,202.0
greedycost,123,50,0.11568860813931381,150,0.3874299928252102,182.0
greedycost,789,50,0.11568860813931381,160,0.39518692038969616,211.0
greedycost,1,50,0.11568860813931381,160,0.41888020976503915,188.0
greedycost,42,50,0.11568860813931381,160,0.44126900586757467,202.0
greedycost,456,50,0.11568860813931381,160,0.3798152099652199,212.0
greedycost,123,50,0.11568860813931381,160,0.4073435720397849,191.0
greedycost,789,50,0.11568860813931381,170,0.4032499557624035,222.0
greedycost,1,50,0.11568860813931381,170,0.4217449246424013,198.0
greedycost,42,50,0.11568860813931381,170,0.414376189231625,213.0
greedycost,456,50,0.11568860813931381,170,0.3976779384439716,224.0
greedycost,123,50,0.11568860813931381,170,0.3915372447920219,204.0
greedycost,789,50,0.11568860813931381,180,0.4462340695036223,232.0
greedycost,1,50,0.11568860813931381,180,0.4290268654278502,210.0
greedycost,42,50,0.11568860813931381,180,0.4421294873060245,223.0
greedycost,456,50,0.11568860813931381,180,0.3981000800510859,229.0
greedycost,123,50,0.11568860813931381,180,0.41661513953452367,220.0
greedycost,789,50,0.11568860813931381,190,0.42016465590688135,246.0
greedycost,1,50,0.11568860813931381,190,0.4215939327152689,218.0
greedycost,42,50,0.11568860813931381,190,0.45350233567964027,241.0
greedycost,456,50,0.11568860813931381,190,0.39639404299186454,237.0
greedycost,123,50,0.11568860813931381,190,0.4601723666030908,234.0
greedycost,789,50,0.11568860813931381,200,0.4316370806387868,258.0
greedycost,1,50,0.11568860813931381,200,0.43683398753005487,230.0
greedycost,42,50,0.11568860813931381,200,0.45105842735056845,254.0
greedycost,456,50,0.11568860813931381,200,0.37245538070847917,246.0
greedycost,123,50,0.11568860813931381,200,0.42755620742271927,244.0
random,789,50,0.11568860813931381,10,-0.19485010270494385,59.0
random,1,50,0.11568860813931381,10,0.19572732919291325,59.0
random,42,50,0.11568860813931381,10,0.23563488130678445,59.0
random,456,50,0.11568860813931381,10,0.19538837118582741,60.0
random,123,50,0.11568860813931381,10,0.19129260882269428,59.0
random,789,50,0.11568860813931381,20,0.174031510803335,70.0
random,1,50,0.11568860813931381,20,0.23084863193525695,70.0
random,42,50,0.11568860813931381,20,0.2324459313155426,69.0
random,456,50,0.11568860813931381,20,0.2680173942661813,70.0
random,123,50,0.11568860813931381,20,0.2123742626952777,70.0
random,789,50,0.11568860813931381,30,0.2206047991609028,79.0
random,1,50,0.11568860813931381,30,0.22785846464562876,79.0
random,42,50,0.11568860813931381,30,0.19409858613591913,79.0
random,456,50,0.11568860813931381,30,0.1704024531796754,80.0
random,123,50,0.11568860813931381,30,0.2761853918200311,79.0
random,789,50,0.11568860813931381,40,0.23996769730587497,89.0
random,1,50,0.11568860813931381,40,0.19058762081466463,90.0
random,42,50,0.11568860813931381,40,0.2845048138076035,89.0
random,456,50,0.11568860813931381,40,0.3015985021129386,89.0
random,123,50,0.11568860813931381,40,0.32633369161180403,89.0
random,789,50,0.11568860813931381,50,0.26324976469157413,99.0
random,1,50,0.11568860813931381,50,0.2304355508492255,100.0
random,42,50,0.11568860813931381,50,0.3097768373451534,100.0
random,456,50,0.11568860813931381,50,0.2987933258096993,100.0
random,123,50,0.11568860813931381,50,0.3507321971826761,99.0
random,789,50,0.11568860813931381,60,0.3084156862546803,110.0
random,1,50,0.11568860813931381,60,0.240051069679307,109.0
random,42,50,0.11568860813931381,60,0.28575864846179044,110.0
random,456,50,0.11568860813931381,60,0.3063345581071575,110.0
random,123,50,0.11568860813931381,60,0.341199562228931,109.0
random,789,50,0.11568860813931381,70,0.33010194062407794,119.0
random,1,50,0.11568860813931381,70,0.2805879917871471,120.0
random,42,50,0.11568860813931381,70,0.27336565734086815,119.0
random,456,50,0.11568860813931381,70,0.333269205917358,119.0
random,123,50,0.11568860813931381,70,0.37021791194131326,120.0
random,789,50,0.11568860813931381,80,0.34614428903442296,130.0
random,1,50,0.11568860813931381,80,0.2864708523991897,130.0
random,42,50,0.11568860813931381,80,0.3320817992650763,130.0
random,456,50,0.11568860813931381,80,0.3623365582659789,129.0
random,123,50,0.11568860813931381,80,0.38113463217173216,130.0
random,789,50,0.11568860813931381,90,0.34661099736898293,140.0
random,1,50,0.11568860813931381,90,0.3216947151716346,140.0
random,42,50,0.11568860813931381,90,0.338194606275824,140.0
random,456,50,0.11568860813931381,90,0.3518204398580641,140.0
random,123,50,0.11568860813931381,90,0.38195208104597556,140.0
random,789,50,0.11568860813931381,100,0.34397238144126185,150.0
random,1,50,0.11568860813931381,100,0.35152227325887,150.0
random,42,50,0.11568860813931381,100,0.33921859244227914,149.0
random,456,50,0.11568860813931381,100,0.37769426939968886,150.0
random,123,50,0.11568860813931381,100,0.3847301941230782,150.0
random,789,50,0.11568860813931381,110,0.35818669035319894,160.0
random,1,50,0.11568860813931381,110,0.35542298561284724,160.0
random,42,50,0.11568860813931381,110,0.332913876473123,159.0
random,456,50,0.11568860813931381,110,0.3513976363497283,159.0
random,123,50,0.11568860813931381,110,0.38653901867569807,159.0
random,789,50,0.11568860813931381,120,0.3814328280104504,169.0
random,1,50,0.11568860813931381,120,0.3718356088807604,170.0
random,42,50,0.11568860813931381,120,0.3505894568870337,170.0
random,456,50,0.11568860813931381,120,0.3814360954267074,170.0
random,123,50,0.11568860813931381,120,0.3928437126871833,169.0
random,789,50,0.11568860813931381,130,0.3849050609420279,180.0
random,1,50,0.11568860813931381,130,0.39052663431295276,180.0
random,42,50,0.11568860813931381,130,0.37170614658245105,180.0
random,456,50,0.11568860813931381,130,0.3447172580913046,180.0
random,123,50,0.11568860813931381,130,0.3759237068683621,180.0
random,789,50,0.11568860813931381,140,0.4207770459434953,189.0
random,1,50,0.11568860813931381,140,0.3942336448984266,190.0
random,42,50,0.11568860813931381,140,0.3750143573686838,189.0
random,456,50,0.11568860813931381,140,0.35414132120510855,189.0
random,123,50,0.11568860813931381,140,0.38002194033441206,190.0
random,789,50,0.11568860813931381,150,0.40351832903755014,200.0
random,1,50,0.11568860813931381,150,0.39854037551108745,199.0
random,42,50,0.11568860813931381,150,0.3799430822092711,199.0
random,456,50,0.11568860813931381,150,0.3447965411424285,200.0
random,123,50,0.11568860813931381,150,0.3980295853826965,200.0
random,789,50,0.11568860813931381,160,0.42847014569382935,209.0
random,1,50,0.11568860813931381,160,0.40033046347360934,210.0
random,42,50,0.11568860813931381,160,0.38790820669389237,210.0
random,456,50,0.11568860813931381,160,0.3579267946469935,210.0
random,123,50,0.11568860813931381,160,0.3998005836671633,209.0
random,789,50,0.11568860813931381,170,0.42845683248596234,220.0
random,1,50,0.11568860813931381,170,0.40845172325960866,219.0
random,42,50,0.11568860813931381,170,0.38489061131168756,220.0
random,456,50,0.11568860813931381,170,0.3721359211314681,220.0
random,123,50,0.11568860813931381,170,0.4023502790311876,219.0
random,789,50,0.11568860813931381,180,0.42513130040339886,230.0
random,1,50,0.11568860813931381,180,0.41029037809824365,230.0
random,42,50,0.11568860813931381,180,0.3858478015614639,229.0
random,456,50,0.11568860813931381,180,0.39267322257122184,230.0
random,123,50,0.11568860813931381,180,0.40271533783318836,230.0
random,789,50,0.11568860813931381,190,0.4233065144479512,240.0
random,1,50,0.11568860813931381,190,0.4121243327066477,240.0
random,42,50,0.11568860813931381,190,0.39415558183177946,240.0
random,456,50,0.11568860813931381,190,0.3889840257222096,240.0
random,123,50,0.11568860813931381,190,0.4029191865307218,239.0
random,789,50,0.11568860813931381,200,0.4282872206521231,250.0
random,1,50,0.11568860813931381,200,0.4097686274945408,249.0
random,42,50,0.11568860813931381,200,0.3977363770988004,250.0
random,456,50,0.11568860813931381,200,0.3905645524546013,250.0
random,123,50,0.11568860813931381,200,0.39695243353054255,250.0
