Method,Seed,Initial Set Size,Initial Test R2,Budget,Test R2
inversetypiclust,456,362,-0.10732700448487176,90,0.2444312037205444
inversetypiclust,123,362,-0.10732700448487176,90,0.20822018979295087
inversetypiclust,789,362,-0.10732700448487176,100,0.24588254513321328
inversetypiclust,1,362,-0.10732700448487176,100,0.2826069409317077
inversetypiclust,42,362,-0.10732700448487176,100,0.22515936981844098
inversetypiclust,456,362,-0.10732700448487176,100,0.2351457505597656
inversetypiclust,123,362,-0.10732700448487176,100,0.27860224644220943
inversetypiclust,789,362,-0.10732700448487176,1000,0.5528333538196806
inversetypiclust,1,362,-0.10732700448487176,1000,0.5428104591124614
inversetypiclust,42,362,-0.10732700448487176,1000,0.5573028250830447
inversetypiclust,456,362,-0.10732700448487176,1000,0.5678027387551231
inversetypiclust,123,362,-0.10732700448487176,1000,0.5371340468144936
random,789,362,-0.10732700448487176,10,-0.04637399230073713
random,1,362,-0.10732700448487176,10,0.024633978512597965
random,42,362,-0.10732700448487176,10,-0.04945234811614596
random,456,362,-0.10732700448487176,10,-0.0667010932463099
random,123,362,-0.10732700448487176,10,-0.027708786356084092
random,789,362,-0.10732700448487176,20,0.044587432688792505
random,1,362,-0.10732700448487176,20,0.014141622734209158
random,42,362,-0.10732700448487176,20,-0.02281730024874462
random,456,362,-0.10732700448487176,20,0.06630202661208895
random,123,362,-0.10732700448487176,20,0.01365139963860329
random,789,362,-0.10732700448487176,30,0.07638372946619187
random,1,362,-0.10732700448487176,30,0.041216083695037375
random,42,362,-0.10732700448487176,30,0.0742168691855748
random,456,362,-0.10732700448487176,30,0.12239412294035146
random,123,362,-0.10732700448487176,30,0.09824783141644644
random,789,362,-0.10732700448487176,40,0.2100108632147788
random,1,362,-0.10732700448487176,40,0.10212300898813043
random,42,362,-0.10732700448487176,40,0.12144909506855395
random,456,362,-0.10732700448487176,40,0.21691575513326977
random,123,362,-0.10732700448487176,40,0.15960230002293074
random,789,362,-0.10732700448487176,50,0.23080423255799098
random,1,362,-0.10732700448487176,50,0.10938374083650715
random,42,362,-0.10732700448487176,50,0.1459211750034941
random,456,362,-0.10732700448487176,50,0.2553319026400789
random,123,362,-0.10732700448487176,50,0.20811726259464192
random,789,362,-0.10732700448487176,60,0.31251004151224715
random,1,362,-0.10732700448487176,60,0.08064300698695193
random,42,362,-0.10732700448487176,60,0.16819121908485712
random,456,362,-0.10732700448487176,60,0.29038538008157855
random,123,362,-0.10732700448487176,60,0.2482454827830809
random,789,362,-0.10732700448487176,70,0.3339561649162336
random,1,362,-0.10732700448487176,70,0.19192844646329144
random,42,362,-0.10732700448487176,70,0.20269730044511847
random,456,362,-0.10732700448487176,70,0.30161062793462434
random,123,362,-0.10732700448487176,70,0.2643984202556543
random,789,362,-0.10732700448487176,80,0.30159749705540195
random,1,362,-0.10732700448487176,80,0.1595973292041547
random,42,362,-0.10732700448487176,80,0.22806434697007916
random,456,362,-0.10732700448487176,80,0.2824523520711745
random,123,362,-0.10732700448487176,80,0.3094847871914794
random,789,362,-0.10732700448487176,90,0.3621455205051728
random,1,362,-0.10732700448487176,90,0.1919940972265426
random,42,362,-0.10732700448487176,90,0.2510241569654088
random,456,362,-0.10732700448487176,90,0.3482198179189372
random,123,362,-0.10732700448487176,90,0.3392683289099948
random,789,362,-0.10732700448487176,100,0.3743392522840837
random,1,362,-0.10732700448487176,100,0.21580423211655964
random,42,362,-0.10732700448487176,100,0.3107818614754845
random,456,362,-0.10732700448487176,100,0.3760621029251935
random,123,362,-0.10732700448487176,100,0.369176788551257
random,789,362,-0.10732700448487176,1000,0.5971468824063558
random,1,362,-0.10732700448487176,1000,0.5838246702771008
random,42,362,-0.10732700448487176,1000,0.5987212097559118
random,456,362,-0.10732700448487176,1000,0.5935811463499334
random,123,362,-0.10732700448487176,1000,0.5894841702076392
typiclust,789,362,-0.10732700448487176,10,-0.09794768137035481
typiclust,1,362,-0.10732700448487176,10,-0.07019555818961698
typiclust,42,362,-0.10732700448487176,10,-0.07995059619983791
typiclust,456,362,-0.10732700448487176,10,-0.07478136635218591
typiclust,123,362,-0.10732700448487176,10,-0.10014411011671998
typiclust,789,362,-0.10732700448487176,20,-0.025201430080810994
typiclust,1,362,-0.10732700448487176,20,-0.03345655922958368
typiclust,42,362,-0.10732700448487176,20,-0.04989936479533141
typiclust,456,362,-0.10732700448487176,20,-0.07103714933416727
typiclust,123,362,-0.10732700448487176,20,-0.021728151222836445
typiclust,789,362,-0.10732700448487176,30,-0.020075554551487462
typiclust,1,362,-0.10732700448487176,30,0.015511780020405985
typiclust,42,362,-0.10732700448487176,30,-0.02616597635653961
typiclust,456,362,-0.10732700448487176,30,-0.008820294402170248
typiclust,123,362,-0.10732700448487176,30,0.001991515110423059
typiclust,789,362,-0.10732700448487176,40,0.050169735167277185
typiclust,1,362,-0.10732700448487176,40,0.08248126926961707
typiclust,42,362,-0.10732700448487176,40,0.10169545763865184
typiclust,456,362,-0.10732700448487176,40,0.16352991738778133
typiclust,123,362,-0.10732700448487176,40,0.0222452435971926
typiclust,789,362,-0.10732700448487176,50,0.17025873488246301
typiclust,1,362,-0.10732700448487176,50,0.18270947658982495
typiclust,42,362,-0.10732700448487176,50,0.10258342292391542
typiclust,456,362,-0.10732700448487176,50,0.1682023567488653
typiclust,123,362,-0.10732700448487176,50,0.18560857971967992
typiclust,789,362,-0.10732700448487176,60,0.2087978891977007
typiclust,1,362,-0.10732700448487176,60,0.20979303625843904
