Method,Seed,Initial Set Size,Initial Test R2,Budget,Test R2
inversetypiclust,789,50,0.11568860813931381,10,0.13347707846128243
inversetypiclust,1,50,0.11568860813931381,10,0.13731961907381585
inversetypiclust,42,50,0.11568860813931381,10,0.2542132318475513
inversetypiclust,456,50,0.11568860813931381,10,0.12474099597405142
inversetypiclust,123,50,0.11568860813931381,10,0.1295084002454625
inversetypiclust,789,50,0.11568860813931381,20,0.1530386178831915
inversetypiclust,1,50,0.11568860813931381,20,0.07222860186488933
inversetypiclust,42,50,0.11568860813931381,20,0.27271829033769723
inversetypiclust,456,50,0.11568860813931381,20,0.19531695837927165
inversetypiclust,123,50,0.11568860813931381,20,0.2584089321152836
inversetypiclust,789,50,0.11568860813931381,30,0.15922281159370721
inversetypiclust,1,50,0.11568860813931381,30,0.12214721819068042
inversetypiclust,42,50,0.11568860813931381,30,0.09159248811844001
inversetypiclust,456,50,0.11568860813931381,30,0.21421160535604844
inversetypiclust,123,50,0.11568860813931381,30,0.24750178849030313
inversetypiclust,789,50,0.11568860813931381,40,0.20650072775841588
inversetypiclust,1,50,0.11568860813931381,40,0.11151057217642146
inversetypiclust,42,50,0.11568860813931381,40,0.2696019233393212
inversetypiclust,456,50,0.11568860813931381,40,0.18133998626194947
inversetypiclust,123,50,0.11568860813931381,40,0.17404146033320433
inversetypiclust,789,50,0.11568860813931381,50,0.2484948470483388
inversetypiclust,1,50,0.11568860813931381,50,0.16507382524236713
inversetypiclust,42,50,0.11568860813931381,50,0.3011755859596079
inversetypiclust,456,50,0.11568860813931381,50,0.23389474089744766
inversetypiclust,123,50,0.11568860813931381,50,0.21002262184705556
inversetypiclust,789,50,0.11568860813931381,60,0.37197383985469434
inversetypiclust,1,50,0.11568860813931381,60,0.1690156726155747
inversetypiclust,42,50,0.11568860813931381,60,0.2786457399466473
inversetypiclust,456,50,0.11568860813931381,60,0.30514239342483707
inversetypiclust,123,50,0.11568860813931381,60,0.2513184068409663
inversetypiclust,789,50,0.11568860813931381,70,0.3268403193135515
inversetypiclust,1,50,0.11568860813931381,70,-0.011664303575134705
inversetypiclust,42,50,0.11568860813931381,70,0.2728856854923162
inversetypiclust,456,50,0.11568860813931381,70,0.26660314452562384
inversetypiclust,123,50,0.11568860813931381,70,0.2868628309688078
inversetypiclust,789,50,0.11568860813931381,80,0.27063548721649955
inversetypiclust,1,50,0.11568860813931381,80,0.3116660966410687
inversetypiclust,42,50,0.11568860813931381,80,0.3214435615282981
inversetypiclust,456,50,0.11568860813931381,80,0.3060801402843374
inversetypiclust,123,50,0.11568860813931381,80,0.2978088214966953
inversetypiclust,789,50,0.11568860813931381,90,0.33346067570709914
inversetypiclust,1,50,0.11568860813931381,90,0.31863614092604653
inversetypiclust,42,50,0.11568860813931381,90,0.32233054699148933
inversetypiclust,456,50,0.11568860813931381,90,0.25707748899186555
inversetypiclust,123,50,0.11568860813931381,90,0.3046572556790853
inversetypiclust,789,50,0.11568860813931381,100,0.3072717816163889
inversetypiclust,1,50,0.11568860813931381,100,0.35163067756587985
inversetypiclust,42,50,0.11568860813931381,100,0.10597046254179443
inversetypiclust,456,50,0.11568860813931381,100,0.28509013296486774
inversetypiclust,123,50,0.11568860813931381,100,0.32211291152785326
inversetypiclust,789,50,0.11568860813931381,1000,0.5554043281915746
inversetypiclust,1,50,0.11568860813931381,1000,0.5334397397412716
inversetypiclust,42,50,0.11568860813931381,1000,0.558289159155722
inversetypiclust,456,50,0.11568860813931381,1000,0.5672362045054551
inversetypiclust,123,50,0.11568860813931381,1000,0.5525496241038719
random,789,50,0.11568860813931381,10,0.15403538769593494
random,1,50,0.11568860813931381,10,0.230279934315481
random,42,50,0.11568860813931381,10,0.21342174389871216
random,456,50,0.11568860813931381,10,0.25307903185065606
random,123,50,0.11568860813931381,10,0.20994381637372028
random,789,50,0.11568860813931381,20,0.22501268211739378
random,1,50,0.11568860813931381,20,0.23267534339744167
random,42,50,0.11568860813931381,20,0.27206195251233656
random,456,50,0.11568860813931381,20,0.17040245317968705
random,123,50,0.11568860813931381,20,0.3075335760485278
random,789,50,0.11568860813931381,30,0.2632497646915738
random,1,50,0.11568860813931381,30,0.2287490611872126
random,42,50,0.11568860813931381,30,0.3097768373451537
random,456,50,0.11568860813931381,30,0.31544371217883327
random,123,50,0.11568860813931381,30,0.35100663668259435
random,789,50,0.11568860813931381,40,0.32007832667952196
random,1,50,0.11568860813931381,40,0.23856148014078293
random,42,50,0.11568860813931381,40,0.2673497766294439
random,456,50,0.11568860813931381,40,0.31482846492804706
random,123,50,0.11568860813931381,40,0.34707679238005196
random,789,50,0.11568860813931381,50,0.3212326570322894
random,1,50,0.11568860813931381,50,0.29465531516984056
random,42,50,0.11568860813931381,50,0.33715637251994013
random,456,50,0.11568860813931381,50,0.33414554936568697
random,123,50,0.11568860813931381,50,0.38113463217173216
random,789,50,0.11568860813931381,60,0.3404600507327572
random,1,50,0.11568860813931381,60,0.3370106463552648
random,42,50,0.11568860813931381,60,0.34365689402555266
random,456,50,0.11568860813931381,60,0.3518204398580639
random,123,50,0.11568860813931381,60,0.3857475907447413
random,789,50,0.11568860813931381,70,0.35777499778000676
random,1,50,0.11568860813931381,70,0.355422985612847
random,42,50,0.11568860813931381,70,0.33502162869432595
random,456,50,0.11568860813931381,70,0.35562796199430813
random,123,50,0.11568860813931381,70,0.38422512896600947
random,789,50,0.11568860813931381,80,0.3688493646632629
random,1,50,0.11568860813931381,80,0.38603669332177304
random,42,50,0.11568860813931381,80,0.3720786352511307
random,456,50,0.11568860813931381,80,0.3903222572489152
random,123,50,0.11568860813931381,80,0.37762426582784914
