Method,Seed,Initial Set Size,Initial Test R2,Budget,Test R2
inversetypiclust,789,219,-0.005646954408984994,10,0.015585887574723123
inversetypiclust,1,219,-0.005646954408984994,10,0.10296132060153707
inversetypiclust,42,219,-0.005646954408984994,10,0.05942379743072268
inversetypiclust,456,219,-0.005646954408984994,10,0.06528532514186014
inversetypiclust,123,219,-0.005646954408984994,10,0.05687021608147513
inversetypiclust,789,219,-0.005646954408984994,100,0.2650407894627024
inversetypiclust,1,219,-0.005646954408984994,100,0.31144442880237055
inversetypiclust,42,219,-0.005646954408984994,100,0.291856059385754
inversetypiclust,456,219,-0.005646954408984994,100,0.25318222854880534
inversetypiclust,123,219,-0.005646954408984994,100,0.29923497013998335
inversetypiclust,789,219,-0.005646954408984994,1000,0.5572533594765582
inversetypiclust,1,219,-0.005646954408984994,1000,0.550158020441975
inversetypiclust,42,219,-0.005646954408984994,1000,0.5605105598083225
inversetypiclust,456,219,-0.005646954408984994,1000,0.5765087602985788
inversetypiclust,123,219,-0.005646954408984994,1000,0.5432150415423481
random,789,219,-0.005646954408984994,10,0.015657230354145457
random,1,219,-0.005646954408984994,10,0.04081962164724262
random,42,219,-0.005646954408984994,10,0.09347418858622414
random,456,219,-0.005646954408984994,10,0.04405296091655586
random,123,219,-0.005646954408984994,10,0.09111050792814601
random,789,219,-0.005646954408984994,100,0.3304803632867196
random,1,219,-0.005646954408984994,100,0.33554816771416984
random,42,219,-0.005646954408984994,100,0.3099230099416316
random,456,219,-0.005646954408984994,100,0.3634193291750938
random,123,219,-0.005646954408984994,100,0.4042134904329614
random,789,219,-0.005646954408984994,1000,0.5998799999885336
random,1,219,-0.005646954408984994,1000,0.5810819422921059
random,42,219,-0.005646954408984994,1000,0.5925720709039096
random,456,219,-0.005646954408984994,1000,0.5932726314961538
random,123,219,-0.005646954408984994,1000,0.5931658966958068
typiclust,789,219,-0.005646954408984994,10,0.010863223732886285
typiclust,1,219,-0.005646954408984994,10,0.032155247829265154
typiclust,42,219,-0.005646954408984994,10,-0.00322062280615687
typiclust,456,219,-0.005646954408984994,10,0.014980594396842961
typiclust,123,219,-0.005646954408984994,10,0.029517161804102243
typiclust,789,219,-0.005646954408984994,100,0.3095736254480199
typiclust,1,219,-0.005646954408984994,100,0.3151309075043365
typiclust,42,219,-0.005646954408984994,100,0.3172259930844519
typiclust,456,219,-0.005646954408984994,100,0.3744116792579889
typiclust,123,219,-0.005646954408984994,100,0.28063488787016766
typiclust,789,219,-0.005646954408984994,1000,0.5764260094146726
typiclust,1,219,-0.005646954408984994,1000,0.5800985120862419
typiclust,42,219,-0.005646954408984994,1000,0.5744611839317896
typiclust,456,219,-0.005646954408984994,1000,0.5640041746082989
typiclust,123,219,-0.005646954408984994,1000,0.5746705785457478
