Method,Seed,Initial Set Size,Initial Test R2,Budget,Labeled Set Size,Test R2,Cost Function,Total Cost
greedycost,789,219,-0.005646954408984994,10,235,0.05249794038284206,pointwise_by_region,235.0
greedycost,1,219,-0.005646954408984994,10,224,0.017269953009296124,pointwise_by_region,224.0
greedycost,42,219,-0.005646954408984994,10,226,0.05253103546492066,pointwise_by_region,226.0
greedycost,456,219,-0.005646954408984994,10,228,-0.015432663393766255,pointwise_by_region,228.0
greedycost,123,219,-0.005646954408984994,10,223,0.011634194646774842,pointwise_by_region,223.0
greedycost,789,219,-0.005646954408984994,20,242,0.112036596979739,pointwise_by_region,242.0
greedycost,1,219,-0.005646954408984994,20,226,0.009980361880758126,pointwise_by_region,226.0
greedycost,42,219,-0.005646954408984994,20,237,0.1236274779598282,pointwise_by_region,237.0
greedycost,456,219,-0.005646954408984994,20,236,0.03620853684436498,pointwise_by_region,236.0
greedycost,123,219,-0.005646954408984994,20,235,0.07578218144550963,pointwise_by_region,235.0
greedycost,789,219,-0.005646954408984994,30,254,0.1757997210021739,pointwise_by_region,254.0
greedycost,1,219,-0.005646954408984994,30,240,0.09760534347723171,pointwise_by_region,240.0
greedycost,42,219,-0.005646954408984994,30,246,0.17883360285007155,pointwise_by_region,246.0
greedycost,456,219,-0.005646954408984994,30,243,0.14230096709800122,pointwise_by_region,243.0
greedycost,123,219,-0.005646954408984994,30,251,0.15768092386286547,pointwise_by_region,251.0
greedycost,789,219,-0.005646954408984994,40,267,0.22224819679120789,pointwise_by_region,267.0
greedycost,1,219,-0.005646954408984994,40,250,0.12707513325356645,pointwise_by_region,250.0
greedycost,42,219,-0.005646954408984994,40,255,0.21717505247711988,pointwise_by_region,255.0
greedycost,456,219,-0.005646954408984994,40,254,0.18731637231284348,pointwise_by_region,254.0
greedycost,123,219,-0.005646954408984994,40,269,0.18762356001779323,pointwise_by_region,269.0
greedycost,789,219,-0.005646954408984994,50,277,0.24658979927744495,pointwise_by_region,277.0
greedycost,1,219,-0.005646954408984994,50,258,0.15341881293844295,pointwise_by_region,258.0
greedycost,42,219,-0.005646954408984994,50,268,0.27436986827724674,pointwise_by_region,268.0
greedycost,456,219,-0.005646954408984994,50,262,0.20437681949620834,pointwise_by_region,262.0
greedycost,123,219,-0.005646954408984994,50,274,0.193843332259527,pointwise_by_region,274.0
greedycost,789,219,-0.005646954408984994,60,294,0.2690741574266179,pointwise_by_region,294.0
greedycost,1,219,-0.005646954408984994,60,271,0.16815319642365767,pointwise_by_region,271.0
greedycost,42,219,-0.005646954408984994,60,281,0.3026666139053915,pointwise_by_region,281.0
greedycost,456,219,-0.005646954408984994,60,268,0.2048921475557688,pointwise_by_region,268.0
greedycost,123,219,-0.005646954408984994,60,286,0.22328005302526122,pointwise_by_region,286.0
greedycost,789,219,-0.005646954408984994,70,301,0.2733099379888536,pointwise_by_region,301.0
greedycost,1,219,-0.005646954408984994,70,283,0.21609184847478846,pointwise_by_region,283.0
greedycost,42,219,-0.005646954408984994,70,292,0.2988658406054404,pointwise_by_region,292.0
greedycost,456,219,-0.005646954408984994,70,274,0.2053257427255738,pointwise_by_region,274.0
greedycost,123,219,-0.005646954408984994,70,295,0.24812324007519015,pointwise_by_region,295.0
greedycost,789,219,-0.005646954408984994,80,309,0.3052653918014716,pointwise_by_region,309.0
