Method,Seed,Initial Set Size,Initial Test R2,Budget,Labeled Set Size,Test R2,Cost Function,Total Cost
greedycost,789,362,-0.10732700448487176,10,376,-0.005796458476658328,pointwise_by_region,376.0
greedycost,1,362,-0.10732700448487176,10,368,-0.10027997534598665,pointwise_by_region,368.0
greedycost,42,362,-0.10732700448487176,10,370,-0.03046023278454646,pointwise_by_region,370.0
greedycost,456,362,-0.10732700448487176,10,373,0.0025993303789016986,pointwise_by_region,373.0
greedycost,123,362,-0.10732700448487176,10,369,-0.09487514753818149,pointwise_by_region,369.0
greedycost,789,362,-0.10732700448487176,20,384,-0.018624453375699623,pointwise_by_region,384.0
greedycost,1,362,-0.10732700448487176,20,377,-0.037903347808904364,pointwise_by_region,377.0
greedycost,42,362,-0.10732700448487176,20,380,0.06247825672316598,pointwise_by_region,380.0
greedycost,456,362,-0.10732700448487176,20,384,0.03613970182265658,pointwise_by_region,384.0
greedycost,123,362,-0.10732700448487176,20,378,-0.030535973302781905,pointwise_by_region,378.0
greedycost,789,362,-0.10732700448487176,30,394,-0.0025572712235566453,pointwise_by_region,394.0
greedycost,1,362,-0.10732700448487176,30,386,0.005664514723433878,pointwise_by_region,386.0
greedycost,42,362,-0.10732700448487176,30,389,0.11667626380011942,pointwise_by_region,389.0
greedycost,456,362,-0.10732700448487176,30,391,0.05918542060337717,pointwise_by_region,391.0
greedycost,123,362,-0.10732700448487176,30,394,0.06069304637943862,pointwise_by_region,394.0
greedycost,789,362,-0.10732700448487176,40,408,0.06636082450729652,pointwise_by_region,408.0
greedycost,1,362,-0.10732700448487176,40,400,0.026717628278881134,pointwise_by_region,400.0
greedycost,42,362,-0.10732700448487176,40,398,0.13425743465735662,pointwise_by_region,398.0
greedycost,456,362,-0.10732700448487176,40,403,0.08044176792003133,pointwise_by_region,403.0
greedycost,123,362,-0.10732700448487176,40,407,0.09840032133640098,pointwise_by_region,407.0
greedycost,789,362,-0.10732700448487176,50,418,0.11342253946243763,pointwise_by_region,418.0
greedycost,1,362,-0.10732700448487176,50,408,0.08956213929679957,pointwise_by_region,408.0
greedycost,42,362,-0.10732700448487176,50,407,0.17570247429546448,pointwise_by_region,407.0
greedycost,456,362,-0.10732700448487176,50,412,0.18536845659107382,pointwise_by_region,412.0
greedycost,123,362,-0.10732700448487176,50,419,0.12632634927480257,pointwise_by_region,419.0
greedycost,789,362,-0.10732700448487176,60,432,0.1409526393886944,pointwise_by_region,432.0
greedycost,1,362,-0.10732700448487176,60,423,0.13979577164452417,pointwise_by_region,423.0
greedycost,42,362,-0.10732700448487176,60,423,0.19195309786945525,pointwise_by_region,423.0
greedycost,456,362,-0.10732700448487176,60,419,0.20879688254168327,pointwise_by_region,419.0
greedycost,123,362,-0.10732700448487176,60,429,0.18628743464172892,pointwise_by_region,429.0
greedycost,789,362,-0.10732700448487176,70,441,0.149950144971862,pointwise_by_region,441.0
greedycost,1,362,-0.10732700448487176,70,437,0.2606171736533778,pointwise_by_region,437.0
greedycost,42,362,-0.10732700448487176,70,434,0.287605512567346,pointwise_by_region,434.0
greedycost,456,362,-0.10732700448487176,70,428,0.24198030539103843,pointwise_by_region,428.0
greedycost,123,362,-0.10732700448487176,70,435,0.30021319098085686,pointwise_by_region,435.0
greedycost,789,362,-0.10732700448487176,80,448,0.1581615290419931,pointwise_by_region,448.0
greedycost,1,362,-0.10732700448487176,80,444,0.21404067384176428,pointwise_by_region,444.0
greedycost,42,362,-0.10732700448487176,80,445,0.2588820644800539,pointwise_by_region,445.0
greedycost,456,362,-0.10732700448487176,80,433,0.2703441725533887,pointwise_by_region,433.0
greedycost,123,362,-0.10732700448487176,80,440,0.3004332610607321,pointwise_by_region,440.0
greedycost,789,362,-0.10732700448487176,90,454,0.21018986030246256,pointwise_by_region,454.0
greedycost,1,362,-0.10732700448487176,90,450,0.22209879292289192,pointwise_by_region,450.0
greedycost,42,362,-0.10732700448487176,90,457,0.2755072824331002,pointwise_by_region,457.0
greedycost,456,362,-0.10732700448487176,90,443,0.23606936466684003,pointwise_by_region,443.0
greedycost,123,362,-0.10732700448487176,90,447,0.25145708650147125,pointwise_by_region,447.0
greedycost,789,362,-0.10732700448487176,100,471,0.26297255661609864,pointwise_by_region,471.0
greedycost,1,362,-0.10732700448487176,100,463,0.25661394546689364,pointwise_by_region,463.0
greedycost,42,362,-0.10732700448487176,100,467,0.3201702372448846,pointwise_by_region,467.0
greedycost,456,362,-0.10732700448487176,100,456,0.3001123737374448,pointwise_by_region,456.0
greedycost,123,362,-0.10732700448487176,100,456,0.32945226914462333,pointwise_by_region,456.0
greedycost,789,362,-0.10732700448487176,110,479,0.26892396068779356,pointwise_by_region,479.0
greedycost,1,362,-0.10732700448487176,110,475,0.34986282632293475,pointwise_by_region,475.0
greedycost,42,362,-0.10732700448487176,110,477,0.3000102804380027,pointwise_by_region,477.0
greedycost,456,362,-0.10732700448487176,110,466,0.3190992828522352,pointwise_by_region,466.0
greedycost,123,362,-0.10732700448487176,110,466,0.3222751661200183,pointwise_by_region,466.0
greedycost,789,362,-0.10732700448487176,120,490,0.2652061981493776,pointwise_by_region,490.0
greedycost,1,362,-0.10732700448487176,120,485,0.3576645104997831,pointwise_by_region,485.0
greedycost,42,362,-0.10732700448487176,120,492,0.35039225739674995,pointwise_by_region,492.0
greedycost,456,362,-0.10732700448487176,120,472,0.32564376643081716,pointwise_by_region,472.0
greedycost,123,362,-0.10732700448487176,120,473,0.32603322372979093,pointwise_by_region,473.0
greedycost,789,362,-0.10732700448487176,130,503,0.3153683486369452,pointwise_by_region,503.0
greedycost,1,362,-0.10732700448487176,130,493,0.3740269942464186,pointwise_by_region,493.0
greedycost,42,362,-0.10732700448487176,130,503,0.3597224438200428,pointwise_by_region,503.0
greedycost,456,362,-0.10732700448487176,130,483,0.322023813160902,pointwise_by_region,483.0
greedycost,123,362,-0.10732700448487176,130,481,0.3359832040856583,pointwise_by_region,481.0
greedycost,789,362,-0.10732700448487176,140,513,0.31770229150250384,pointwise_by_region,513.0
greedycost,1,362,-0.10732700448487176,140,499,0.3139666187036776,pointwise_by_region,499.0
greedycost,42,362,-0.10732700448487176,140,510,0.34021942071239597,pointwise_by_region,510.0
greedycost,456,362,-0.10732700448487176,140,498,0.34448282613499004,pointwise_by_region,498.0
greedycost,123,362,-0.10732700448487176,140,491,0.34918304214923535,pointwise_by_region,491.0
greedycost,789,362,-0.10732700448487176,150,518,0.31969470710236914,pointwise_by_region,518.0
greedycost,1,362,-0.10732700448487176,150,507,0.3234210796117398,pointwise_by_region,507.0
greedycost,42,362,-0.10732700448487176,150,524,0.4006707934270498,pointwise_by_region,524.0
greedycost,456,362,-0.10732700448487176,150,504,0.3464452804489868,pointwise_by_region,504.0
greedycost,123,362,-0.10732700448487176,150,500,0.35571406220261614,pointwise_by_region,500.0
greedycost,789,362,-0.10732700448487176,160,534,0.3521813217514247,pointwise_by_region,534.0
greedycost,1,362,-0.10732700448487176,160,519,0.33171082293614906,pointwise_by_region,519.0
greedycost,42,362,-0.10732700448487176,160,531,0.40183738499123434,pointwise_by_region,531.0
greedycost,456,362,-0.10732700448487176,160,509,0.3500253258041215,pointwise_by_region,509.0
greedycost,123,362,-0.10732700448487176,160,507,0.2900916357244201,pointwise_by_region,507.0
greedycost,789,362,-0.10732700448487176,170,542,0.3645252314274686,pointwise_by_region,542.0
greedycost,1,362,-0.10732700448487176,170,528,0.39989907645506617,pointwise_by_region,528.0
greedycost,42,362,-0.10732700448487176,170,549,0.4271282459165139,pointwise_by_region,549.0
greedycost,456,362,-0.10732700448487176,170,518,0.37031595340684575,pointwise_by_region,518.0
greedycost,123,362,-0.10732700448487176,170,517,0.3778390415220809,pointwise_by_region,517.0
greedycost,789,362,-0.10732700448487176,180,546,0.36565548298013617,pointwise_by_region,546.0
