Dataset,Label,Initial Set Description,Method,Budget,Seed,Initial Set Size,Initial Test R2,Labeled Set Size,Test R2
USAVARS,POP,IDs_1000_counties_6_points_seed_42,typiclust,1000,123,3845,0.6433320961187281,4845,0.6672780710330564
USAVARS,POP,IDs_100_counties_5_points_seed_42,inversetypiclust,100,789,307,0.45100074091990994,407,0.49997394723233757
USAVARS,POP,IDs_100_counties_5_points_seed_42,inversetypiclust,100,456,307,0.45100074091990994,407,0.4892117903347113
USAVARS,POP,IDs_100_counties_5_points_seed_42,inversetypiclust,100,1,307,0.45100074091990994,407,0.5225285746486479
USAVARS,POP,IDs_100_counties_5_points_seed_42,inversetypiclust,100,42,307,0.45100074091990994,407,0.5170849208859853
USAVARS,POP,IDs_100_counties_5_points_seed_42,inversetypiclust,100,123,307,0.45100074091990994,407,0.5132901233311613
USAVARS,POP,IDs_100_counties_5_points_seed_42,random,100,123,307,0.45100074091990994,407,0.531605101790277
USAVARS,POP,IDs_100_counties_5_points_seed_42,random,100,789,307,0.45100074091990994,407,0.49571990358196694
USAVARS,POP,IDs_100_counties_5_points_seed_42,random,100,1,307,0.45100074091990994,407,0.4829840623672912
USAVARS,POP,IDs_100_counties_5_points_seed_42,random,100,42,307,0.45100074091990994,407,0.481169000744778
USAVARS,POP,IDs_100_counties_5_points_seed_42,random,100,456,307,0.45100074091990994,407,0.4942060961218362
USAVARS,POP,IDs_100_counties_5_points_seed_42,typiclust,100,123,307,0.45100074091990994,407,0.4899388831000623
USAVARS,POP,IDs_100_counties_5_points_seed_42,typiclust,100,789,307,0.45100074091990994,407,0.4718218086433199
USAVARS,POP,IDs_100_counties_5_points_seed_42,typiclust,100,42,307,0.45100074091990994,407,0.46777142240901903
USAVARS,POP,IDs_100_counties_5_points_seed_42,typiclust,100,456,307,0.45100074091990994,407,0.4884138672180153
USAVARS,POP,IDs_100_counties_5_points_seed_42,typiclust,100,1,307,0.45100074091990994,407,0.47692660027638656
USAVARS,POP,IDs_100_counties_5_points_seed_42,random,1000,42,307,0.45100074091990994,1307,0.6061673435492444
USAVARS,POP,IDs_100_counties_5_points_seed_42,random,1000,456,307,0.45100074091990994,1307,0.5965827827713235
USAVARS,POP,IDs_100_counties_5_points_seed_42,random,1000,123,307,0.45100074091990994,1307,0.6078969153555975
USAVARS,POP,IDs_100_counties_5_points_seed_42,random,1000,1,307,0.45100074091990994,1307,0.6000218742973134
USAVARS,POP,IDs_100_counties_5_points_seed_42,random,1000,789,307,0.45100074091990994,1307,0.6018045391484634
USAVARS,POP,IDs_100_counties_5_points_seed_42,typiclust,1000,1,307,0.45100074091990994,1307,0.6043151586341997
USAVARS,POP,IDs_100_counties_5_points_seed_42,typiclust,1000,123,307,0.45100074091990994,1307,0.5968597790939592
USAVARS,POP,IDs_100_counties_5_points_seed_42,typiclust,1000,42,307,0.45100074091990994,1307,0.5897223687643864
USAVARS,POP,IDs_1500_centers_10000m_radius_seed_42,inversetypiclust,100,456,5170,0.6702476590858399,5270,0.6728739515459228
USAVARS,POP,IDs_1500_centers_10000m_radius_seed_42,inversetypiclust,100,42,5170,0.6702476590858399,5270,0.6723566304138504
USAVARS,POP,IDs_1500_centers_10000m_radius_seed_42,inversetypiclust,100,789,5170,0.6702476590858399,5270,0.6743822787026112
USAVARS,POP,IDs_1500_centers_10000m_radius_seed_42,inversetypiclust,100,1,5170,0.6702476590858399,5270,0.6728704757193993
USAVARS,POP,IDs_1500_centers_10000m_radius_seed_42,inversetypiclust,100,123,5170,0.6702476590858399,5270,0.6736630966323365
USAVARS,POP,IDs_1500_centers_10000m_radius_seed_42,random,100,1,5170,0.6702476590858399,5270,0.6723829039611784
USAVARS,POP,IDs_1500_centers_10000m_radius_seed_42,random,100,42,5170,0.6702476590858399,5270,0.6706152666915366
USAVARS,POP,IDs_1500_centers_10000m_radius_seed_42,random,100,789,5170,0.6702476590858399,5270,0.6708868874643636
USAVARS,POP,IDs_1500_centers_10000m_radius_seed_42,random,100,456,5170,0.6702476590858399,5270,0.6714394140077043
USAVARS,POP,IDs_1500_centers_10000m_radius_seed_42,random,100,123,5170,0.6702476590858399,5270,0.6712440314940991
USAVARS,POP,IDs_1500_centers_10000m_radius_seed_42,typiclust,100,456,5170,0.6702476590858399,5270,0.6716574009086091
USAVARS,POP,IDs_1500_centers_10000m_radius_seed_42,typiclust,100,42,5170,0.6702476590858399,5270,0.6726466314086462
USAVARS,POP,IDs_1500_centers_10000m_radius_seed_42,typiclust,100,1,5170,0.6702476590858399,5270,0.6708135373394575
USAVARS,POP,IDs_1500_centers_10000m_radius_seed_42,typiclust,100,123,5170,0.6702476590858399,5270,0.671338255982377
USAVARS,POP,IDs_1500_centers_10000m_radius_seed_42,typiclust,100,789,5170,0.6702476590858399,5270,0.671749776232031
USAVARS,POP,IDs_1500_centers_10000m_radius_seed_42,random,1000,123,5170,0.6702476590858399,6170,0.6803675844189019
USAVARS,POP,IDs_1500_centers_10000m_radius_seed_42,random,1000,1,5170,0.6702476590858399,6170,0.682246826533681
