Method,Seed,Initial Set Size,Initial Test R2,Budget,Labeled Set Size,Test R2,Cost Function,Total Cost
greedycost,789,162,0.3929678844157791,10,171,0.4074071077158308,pointwise_by_region,171.0
greedycost,1,162,0.3929678844157791,10,169,0.40590283844107,pointwise_by_region,169.0
greedycost,42,162,0.3929678844157791,10,170,0.41751892740189966,pointwise_by_region,170.0
greedycost,456,162,0.3929678844157791,10,173,0.4079349397779476,pointwise_by_region,173.0
greedycost,123,162,0.3929678844157791,10,168,0.42821728193886566,pointwise_by_region,168.0
greedycost,789,162,0.3929678844157791,20,183,0.41629030670609257,pointwise_by_region,183.0
greedycost,1,162,0.3929678844157791,20,174,0.4164791227764856,pointwise_by_region,174.0
greedycost,42,162,0.3929678844157791,20,182,0.4232824074474202,pointwise_by_region,182.0
greedycost,456,162,0.3929678844157791,20,181,0.4237802549164691,pointwise_by_region,181.0
greedycost,123,162,0.3929678844157791,20,182,0.4463050012849076,pointwise_by_region,182.0
greedycost,789,162,0.3929678844157791,30,189,0.42393121562374125,pointwise_by_region,189.0
greedycost,1,162,0.3929678844157791,30,186,0.4456742952007837,pointwise_by_region,186.0
greedycost,42,162,0.3929678844157791,30,192,0.42310868842938987,pointwise_by_region,192.0
greedycost,456,162,0.3929678844157791,30,192,0.44618684099978145,pointwise_by_region,192.0
greedycost,123,162,0.3929678844157791,30,191,0.4497155235788748,pointwise_by_region,191.0
greedycost,789,162,0.3929678844157791,40,197,0.4463634162131529,pointwise_by_region,197.0
greedycost,1,162,0.3929678844157791,40,197,0.4632521162276685,pointwise_by_region,197.0
greedycost,42,162,0.3929678844157791,40,199,0.4300835973064291,pointwise_by_region,199.0
greedycost,456,162,0.3929678844157791,40,202,0.4486992324178597,pointwise_by_region,202.0
greedycost,123,162,0.3929678844157791,40,207,0.4801298554633866,pointwise_by_region,207.0
greedycost,789,162,0.3929678844157791,50,211,0.44240156127065877,pointwise_by_region,211.0
greedycost,1,162,0.3929678844157791,50,206,0.46473782153952636,pointwise_by_region,206.0
greedycost,42,162,0.3929678844157791,50,206,0.4556756489539314,pointwise_by_region,206.0
greedycost,456,162,0.3929678844157791,50,211,0.4540260063475271,pointwise_by_region,211.0
greedycost,123,162,0.3929678844157791,50,222,0.4676076675432389,pointwise_by_region,222.0
greedycost,789,162,0.3929678844157791,60,222,0.46933535198214393,pointwise_by_region,222.0
